dNumb,Published,Department,Judge,Judge4Search,PicFileName,Page,AwardRank,Winner,Winner4Search,Title,SubTitle,WinnerArea,WinnerClub1,WinnerClub2,WinnerClub3,WinnerClub4,Area,Place,DayTime,Year,Month,Day,Season,Hour,Min,TimeZone,Weather,Subject,Composition,Camera,Lens,FocalLength,Exposure,WB,ColorMode,Tripod,TriPodHead,DataOfPhoto,Selection Comments,MapLink,OfficialSite,Logic_Advice,Context_Advice
11,2012N,,,,NT_034.jpg,9,,大津　基,大津基,濡れ色の道,,神奈川,写団薬師,,,,埼玉県長瀞町,岩根山つつじ園,2011-04-19 05:00:00,2011,4,19,,5,0,,雨,椿　サクラ　落花　道,近　中,ペンタックス645NⅡ,FA645 33-55ミリF4.5AL,,f22AE(30秒・－0.5EV）,,,,,RVP100_三脚_CPL,,https://www.google.com/maps/search/?api=1&query=%E5%9F%BC%E7%8E%89%E7%9C%8C%E9%95%B7%E7%80%9E%E7%94%BA%20%E5%B2%A9%E6%A0%B9%E5%B1%B1%E3%81%A4%E3%81%A4%E3%81%98%E5%9C%92,https://www.google.com/search?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E9%95%B7%E7%80%9E%E7%94%BA%20%E5%B2%A9%E6%A0%B9%E5%B1%B1%E3%81%A4%E3%81%A4%E3%81%98%E5%9C%92%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
12,2012N,,,,NT_030.jpg,9,,橋本　清司,橋本清司,早春の歓喜,,栃木,,,,,栃木県岩舟町,みもか山公園・かたくりの園,2011-04-06 16:00:00,2011,4,6,,16,0,,晴れ,カタクリ　樹木,近　中　,ペンタックス645NⅡ,FA645 45-85ミリF4.5,,f22AE(0.7秒・+0.3EV),,,,,RVP100_三脚_CPL,,https://www.google.com/maps/search/?api=1&query=%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%B2%A9%E8%88%9F%E7%94%BA%20%E3%81%BF%E3%82%82%E3%81%8B%E5%B1%B1%E5%85%AC%E5%9C%92%E3%83%BB%E3%81%8B%E3%81%9F%E3%81%8F%E3%82%8A%E3%81%AE%E5%9C%92,https://www.google.com/search?q=%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%B2%A9%E8%88%9F%E7%94%BA%20%E3%81%BF%E3%82%82%E3%81%8B%E5%B1%B1%E5%85%AC%E5%9C%92%E3%83%BB%E3%81%8B%E3%81%9F%E3%81%8F%E3%82%8A%E3%81%AE%E5%9C%92%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
13,2012N,,,,NT_042.jpg,10,,髙橋　徹,髙橋徹,朝光夢幻,,新潟,山遊会,,,,新潟県十日町市,美人林,2011-05-04 05:30:00,2011,5,4,,5,30,,晴れ,樹木　光芒,近　中,ペンタックス645N,FA645 80-160ミリF4.5,,f16・1/2秒(+0.7EV),,,,,RVP50_三脚,,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E7%9C%8C%E5%8D%81%E6%97%A5%E7%94%BA%E5%B8%82%20%E7%BE%8E%E4%BA%BA%E6%9E%97,https://www.google.com/search?q=%E6%96%B0%E6%BD%9F%E7%9C%8C%E5%8D%81%E6%97%A5%E7%94%BA%E5%B8%82%20%E7%BE%8E%E4%BA%BA%E6%9E%97%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
14,2012N,,,,NT_055.jpg,10,,高井　栄次郎,高井栄次郎,恵みの光,,奈良,日本風景写真協会,写研夢大和,,,奈良県宇陀市室生区,染田,2011-05-18 06:00:00,2011,5,18,,6,0,,晴れ,光芒　朝日　茶畑,近　中　遠,ペンタックス645N,A645 45-85ミリF4.5,,f22AE(+0.7EV),,,,,RVP50_三脚_CPL,,https://www.google.com/maps/search/?api=1&query=%E5%A5%88%E8%89%AF%E7%9C%8C%E5%AE%87%E9%99%80%E5%B8%82%E5%AE%A4%E7%94%9F%E5%8C%BA%20%E6%9F%93%E7%94%B0,https://www.google.com/search?q=%E5%A5%88%E8%89%AF%E7%9C%8C%E5%AE%87%E9%99%80%E5%B8%82%E5%AE%A4%E7%94%9F%E5%8C%BA%20%E6%9F%93%E7%94%B0%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
15,2012N,,,,NT_015.jpg,11,,前田　和久,前田和久,光昏,,福岡,日本風景写真協会,,,,佐賀県玄海町,浜野浦の棚田,2010-05-15 19:00:00,2010,5,15,,19,0,,晴れ,棚田　夕焼け　海岸線　映り込み,近　中　遠,ペンタックス645NⅡ,FA645 80-160ミリF4.5,,f22AE(0.7秒・-0.7EV),,,,,RVP100_三脚,,https://www.google.com/maps/search/?api=1&query=%E4%BD%90%E8%B3%80%E7%9C%8C%E7%8E%84%E6%B5%B7%E7%94%BA%20%E6%B5%9C%E9%87%8E%E6%B5%A6%E3%81%AE%E6%A3%9A%E7%94%B0,https://www.google.com/search?q=%E4%BD%90%E8%B3%80%E7%9C%8C%E7%8E%84%E6%B5%B7%E7%94%BA%20%E6%B5%9C%E9%87%8E%E6%B5%A6%E3%81%AE%E6%A3%9A%E7%94%B0%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
16,2012N,,,,NT_060.jpg,11,,嶋田　俊雄,嶋田俊雄,高原讃歌,,大阪,フォトクラブ光彩,日本風景写真協会,マミヤクラブ,,岡山県真庭市,蒜山高原,2010-04-25 06:00:00,2010,4,25,,6,0,,晴れ,草原　霧　朝日　雲海,近　中　遠,マミヤ645AF DⅡ,セコールD80ミリF2.8,80,f22AE(3秒),,,,,RVP50_三脚_CPL,,https://www.google.com/maps/search/?api=1&query=%E5%B2%A1%E5%B1%B1%E7%9C%8C%E7%9C%9F%E5%BA%AD%E5%B8%82%20%E8%92%9C%E5%B1%B1%E9%AB%98%E5%8E%9F,https://www.google.com/search?q=%E5%B2%A1%E5%B1%B1%E7%9C%8C%E7%9C%9F%E5%BA%AD%E5%B8%82%20%E8%92%9C%E5%B1%B1%E9%AB%98%E5%8E%9F%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
17,2012N,,,,NT_081.jpg,12,,山本　一,山本一,山古志への想い,,大阪,日本風景写真協会,棚田学会,,,新潟県長岡市,山古志虫亀,2009-05-12 08:00:00,2009,5,12,,8,0,,曇り,棚田　映り込み　霧,近　中　遠,ペンタックス645N,FA645 80-160ミリF4.5,,f32AE(1/20秒・-1EV),,,,,RVP50_三脚,,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E7%9C%8C%E9%95%B7%E5%B2%A1%E5%B8%82%20%E5%B1%B1%E5%8F%A4%E5%BF%97%E8%99%AB%E4%BA%80,https://www.google.com/search?q=%E6%96%B0%E6%BD%9F%E7%9C%8C%E9%95%B7%E5%B2%A1%E5%B8%82%20%E5%B1%B1%E5%8F%A4%E5%BF%97%E8%99%AB%E4%BA%80%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
18,2012N,,,,NT_069.jpg,12,,鯉沼　孝雄,鯉沼孝雄,早春賊,,栃木,写団藤岡,二科会写真部,,,栃木県栃木市,渡良瀬水地,2009-03-22 05:30:00,2009,3,22,,5,30,,晴れ,葦　,中,ハッセルブラッド500C/M,ゾナーCF250ミリF5.6,250,バルブ10秒(f22),,,,,RVP50_三脚,,https://www.google.com/maps/search/?api=1&query=%E6%A0%83%E6%9C%A8%E7%9C%8C%E6%A0%83%E6%9C%A8%E5%B8%82%20%E6%B8%A1%E8%89%AF%E7%80%AC%E6%B0%B4%E5%9C%B0,https://www.google.com/search?q=%E6%A0%83%E6%9C%A8%E7%9C%8C%E6%A0%83%E6%9C%A8%E5%B8%82%20%E6%B8%A1%E8%89%AF%E7%80%AC%E6%B0%B4%E5%9C%B0%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
19,2012N,,,,NT_082.jpg,13,,米　美知子,米美知子,楚々と咲く,,東京,日本写真家協会,日本写真協会,,,高知県いの町,,2011-05-01 06:00:00,2011,5,255,５月中旬,6,0,,,アケボノツツジ,中　遠,ペンタックス645NⅡ,FA645 150-300ミリF4.5,,f16・1秒,,,,,RVP100_三脚,,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E7%9F%A5%E7%9C%8C%E3%81%84%E3%81%AE%E7%94%BA%E5%BD%B9%E5%A0%B4,,,
20,2012N,,,,NT_063.jpg,13,,田中　弘行,田中弘行,歳月の証,,京都,日本風景写真協会,フォト自然の会,,,京都府京都市上京区,京都御苑・近衛邸跡,2011-05-18 08:00:00,2011,5,18,,8,0,,晴れ,木肌,近　中,ペンタックス645NⅡ,FA645 45-85ミリF4.5,,f22AE(2秒),,,,,RVP100_三脚_CPL,,https://www.google.com/maps/search/?api=1&query=%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%8A%E4%BA%AC%E5%8C%BA%20%E4%BA%AC%E9%83%BD%E5%BE%A1%E8%8B%91%E3%83%BB%E8%BF%91%E8%A1%9B%E9%82%B8%E8%B7%A1,https://www.google.com/search?q=%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%8A%E4%BA%AC%E5%8C%BA%20%E4%BA%AC%E9%83%BD%E5%BE%A1%E8%8B%91%E3%83%BB%E8%BF%91%E8%A1%9B%E9%82%B8%E8%B7%A1%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
21,2012N,,,,NT_005.jpg,14,,高橋　清,高橋清,初夏の森,,東京,スポット須山会,日本風景写真協会,,,群馬県前橋市,赤城白樺牧場,2011-06-18 06:00:00,2011,6,18,,6,0,,曇り,つつじ　霧　樹木,中,ペンタックス645NⅡ,FA645 80-160ミリF4.5,,f22AE(1秒・+0.5EV),,,,,RVP50_三脚_ハーフND,,https://www.google.com/maps/search/?api=1&query=%E7%BE%A4%E9%A6%AC%E7%9C%8C%E5%89%8D%E6%A9%8B%E5%B8%82%20%E8%B5%A4%E5%9F%8E%E7%99%BD%E6%A8%BA%E7%89%A7%E5%A0%B4,https://www.google.com/search?q=%E7%BE%A4%E9%A6%AC%E7%9C%8C%E5%89%8D%E6%A9%8B%E5%B8%82%20%E8%B5%A4%E5%9F%8E%E7%99%BD%E6%A8%BA%E7%89%A7%E5%A0%B4%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
22,2012N,,,,NT_085.jpg,14,,鈴木　一雄,鈴木一雄,夕照の水芭蕉,,東京,日本写真家協会,日本自然科学写真協会,,,福島県,尾瀬,0000-00-00 00:00:00,9999,255,255,６月上旬,18,30,,,水芭蕉　夕日　映り込み,近　中　遠,ペンタックス645NⅡ,FA645 45-85ミリF4.5,,f32・1/2秒,,,,,RVP100_三脚_ハーフND4,,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B3%B6%E7%9C%8C%20%E5%B0%BE%E7%80%AC,https://www.google.com/search?q=%E7%A6%8F%E5%B3%B6%E7%9C%8C%20%E5%B0%BE%E7%80%AC%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
23,2012N,,,,NT_084.jpg,15,,小松　ひとみ,小松ひとみ,梅雨冷えの湿原,,秋田,日本写真家協会,日本写真著作権協会,,,秋田県由利本荘市,ムラスギ湿原,2008-06-01 19:30:00,2008,6,255,６月上旬,19,30,,,霧　湿原　鳥海山,中　遠,ペンタックス645NⅡ,FA45-85ミリF4.5,,f22AE(-0.3EV),,,,,RVP50_三脚,,https://www.google.com/maps/search/?api=1&query=%E7%A7%8B%E7%94%B0%E7%9C%8C%E7%94%B1%E5%88%A9%E6%9C%AC%E8%8D%98%E5%B8%82%20%E3%83%A0%E3%83%A9%E3%82%B9%E3%82%AE%E6%B9%BF%E5%8E%9F,https://www.google.com/search?q=%E7%A7%8B%E7%94%B0%E7%9C%8C%E7%94%B1%E5%88%A9%E6%9C%AC%E8%8D%98%E5%B8%82%20%E3%83%A0%E3%83%A9%E3%82%B9%E3%82%AE%E6%B9%BF%E5%8E%9F%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
24,2012N,,,,NT_076.jpg,15,,大場　肇,大場肇,華麗・ミヤマキリシマ,,福岡,,,,,大分県竹田市,大船山・段原北火口原,2008-06-12 10:00:00,2008,6,12,,10,0,,晴れ,ミヤマキリシマ　池　丘陵,近　中　遠,ブロニカETR-Si,ゼンザノンPE40ミリF4,40,f22・1/30秒,,,,,RVP50_三脚,,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E5%88%86%E7%9C%8C%E7%AB%B9%E7%94%B0%E5%B8%82%20%E5%A4%A7%E8%88%B9%E5%B1%B1%E3%83%BB%E6%AE%B5%E5%8E%9F%E5%8C%97%E7%81%AB%E5%8F%A3%E5%8E%9F,https://www.google.com/search?q=%E5%A4%A7%E5%88%86%E7%9C%8C%E7%AB%B9%E7%94%B0%E5%B8%82%20%E5%A4%A7%E8%88%B9%E5%B1%B1%E3%83%BB%E6%AE%B5%E5%8E%9F%E5%8C%97%E7%81%AB%E5%8F%A3%E5%8E%9F%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
25,2012N,,,,NT_074.jpg,16,,稲垣　泰司,稲垣泰司,棚田に咲く,,埼玉,フォト彩路,日本風景写真協会,,,新潟県十日町市,松代,2011-06-01 00:00:00,2011,6,1,,255,255,午後,曇り,棚田　ヤマボウシ　稲,近　中　遠,マミヤRZ67プロフェッショナルⅡ,セコール90ミリF3.5,90,f32AE(-0.5EV),,,,,RVP100_三脚_PL,,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E7%9C%8C%E5%8D%81%E6%97%A5%E7%94%BA%E5%B8%82%20%E6%9D%BE%E4%BB%A3,https://www.google.com/search?q=%E6%96%B0%E6%BD%9F%E7%9C%8C%E5%8D%81%E6%97%A5%E7%94%BA%E5%B8%82%20%E6%9D%BE%E4%BB%A3%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
26,2012N,,,,NT_057.jpg,16,,石川　倭志,石川倭志,学童保育,,群馬,,,,,群馬県館林市,,2009-09-05 07:00:00,2009,9,5,,7,0,,晴れ,ホウキグサ,近,ペンタックス645N,FA645 45-85ミリF4.5,,f22AE,,,,,RVP50_三脚_CPL,,https://www.google.com/maps/search/?api=1&query=%E7%BE%A4%E9%A6%AC%E7%9C%8C%E9%A4%A8%E6%9E%97%E5%B8%82%E5%BD%B9%E6%89%80,,,
27,2012N,,,,NT_024.jpg,17,,安藤　治仁,安藤治仁,反映,,愛知,日本報道写真連盟,,,,愛知県愛西市,船頭平河川公園,2011-07-02 07:00:00,2011,7,2,,7,0,,晴れ,蓮,近,ペンタックス645NⅡ,FA645 150-300ミリF5.6ED,,f16AE(1/60秒・-0.3EV）,,,,,RVP100F_三脚_CPL,,https://www.google.com/maps/search/?api=1&query=%E6%84%9B%E7%9F%A5%E7%9C%8C%E6%84%9B%E8%A5%BF%E5%B8%82%20%E8%88%B9%E9%A0%AD%E5%B9%B3%E6%B2%B3%E5%B7%9D%E5%85%AC%E5%9C%92,https://www.google.com/search?q=%E6%84%9B%E7%9F%A5%E7%9C%8C%E6%84%9B%E8%A5%BF%E5%B8%82%20%E8%88%B9%E9%A0%AD%E5%B9%B3%E6%B2%B3%E5%B7%9D%E5%85%AC%E5%9C%92%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
28,2012N,,,,NT_028.jpg,17,,天野　静雄,天野静雄,幻奏,,愛知,感動通信,,,,長野県木曽町,開田高原水生植物園,2011-07-30 11:00:00,2011,7,30,,11,0,,晴れ,スイレン,近,ペンタックス645NⅡ,FA645 35ミリF3.5AL,35,f22AE(1/8秒・+0.7EV),,,,,RVP100_三脚_CPL,,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%E6%9C%A8%E6%9B%BD%E7%94%BA%20%E9%96%8B%E7%94%B0%E9%AB%98%E5%8E%9F%E6%B0%B4%E7%94%9F%E6%A4%8D%E7%89%A9%E5%9C%92,https://www.google.com/search?q=%E9%95%B7%E9%87%8E%E7%9C%8C%E6%9C%A8%E6%9B%BD%E7%94%BA%20%E9%96%8B%E7%94%B0%E9%AB%98%E5%8E%9F%E6%B0%B4%E7%94%9F%E6%A4%8D%E7%89%A9%E5%9C%92%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
29,2012N,,,,NT_048.jpg,18,,谷口　浩也,谷口浩也,源流の聖域,,京都,日本風景写真協会,,,,兵庫県新温泉町,猿壺の滝,2010-08-22 00:00:00,2010,8,22,,255,255,午前,晴れ,滝　新緑　光芒,近　中,ペンタックス645NⅡ,FA645 33-55ミリF4.5AL,,f11AE(2秒・+1EV),,,,,RVP100_三脚,,https://www.google.com/maps/search/?api=1&query=%E5%85%B5%E5%BA%AB%E7%9C%8C%E6%96%B0%E6%B8%A9%E6%B3%89%E7%94%BA%20%E7%8C%BF%E5%A3%BA%E3%81%AE%E6%BB%9D,https://www.google.com/search?q=%E5%85%B5%E5%BA%AB%E7%9C%8C%E6%96%B0%E6%B8%A9%E6%B3%89%E7%94%BA%20%E7%8C%BF%E5%A3%BA%E3%81%AE%E6%BB%9D%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
30,2012N,,,,NT_025.jpg,18,,長谷川　泰夫,長谷川泰夫,濁流に耐えて,,愛知,春日井フォーカスクラブ,,,,長野県売木村,軒川,2010-07-01 00:00:00,2010,7,255,中旬,255,255,,雨,濁流　樹木,近,ペンタックス645NⅡ,FA645 150-300ミリF5.6ED,,f11AE(1/15秒・+0.3EV),,,,,RVP100_三脚,,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%E5%A3%B2%E6%9C%A8%E6%9D%91%20%E8%BB%92%E5%B7%9D,https://www.google.com/search?q=%E9%95%B7%E9%87%8E%E7%9C%8C%E5%A3%B2%E6%9C%A8%E6%9D%91%20%E8%BB%92%E5%B7%9D%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
